adm_cd,district,dong,area_km2,green_ratio_pct,impervious_ratio_pct,elderly_ratio_pct_district,cooling_shelter_total,cooling_shelter_operating,cooling_shelter_anyone,cooling_shelter_capacity,cooling_shelter_density_per_10km2,cooling_shelter_accessible_ratio_pct,shade_shelter_count_district,shade_shelter_density_per_10km2_district,summer_mobility_weekly_avg_district,summer_mobility_per_resident_district,uv_published_at,uv_h3,uv_h6,uv_h24,component_impervious_risk,component_green_deficit,component_elderly_sensitivity,component_cooling_shelter_density_deficit,component_cooling_shelter_access_deficit,component_shade_shelter_density_deficit,normalized_component_count,normalized_score_sum,normalized_score_mean,score_component_coverage,score,risk_level,core_data_complete
22020550,동구,신암5동,0.5265,12.2004,78.4562,22.15,4,4,3,265.0,75.9764,75.0,70,3.8514,882448.19,2.5862,2026072806,5.0,7.0,2.0,0.7926,0.8718,0.22,0.6883,0.25,0.9961,6,3.8188,0.6365,1.0,63.65,high,True
22020560,동구,신천1·2동,0.4458,9.8668,88.6107,22.15,3,3,3,89.0,67.2906,100.0,70,3.8514,882448.19,2.5862,2026072806,5.0,8.0,2.0,0.8974,0.8982,0.22,0.7242,0.0,0.9961,6,3.7359,0.6227,1.0,62.27,high,True
22020580,동구,신천3동,0.7416,3.6841,92.6159,22.15,5,5,5,190.0,67.4251,100.0,70,3.8514,882448.19,2.5862,2026072806,5.0,7.0,2.0,0.9388,0.968,0.22,0.7236,0.0,0.9961,6,3.8465,0.6411,1.0,64.11,high,True
22020590,동구,신천4동,0.7883,4.507,87.9476,22.15,3,3,2,160.0,38.0564,66.67,70,3.8514,882448.19,2.5862,2026072806,5.0,8.0,2.0,0.8906,0.9587,0.22,0.8449,0.3333,0.9961,6,4.2436,0.7073,1.0,70.73,critical,True
22020600,동구,효목1동,1.3224,16.3715,75.7202,22.15,3,3,2,78.0,22.6862,66.67,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.7643,0.8247,0.22,0.9083,0.3333,0.9961,6,4.0467,0.6744,1.0,67.44,critical,True
22020610,동구,효목2동,0.7776,3.5226,90.0794,22.15,6,6,5,141.0,77.165,83.33,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.9126,0.9698,0.22,0.6834,0.1667,0.9961,6,3.9486,0.6581,1.0,65.81,critical,True
22020620,동구,도평동,21.2968,84.3376,5.3099,22.15,1,1,1,83.0,0.4696,100.0,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.0373,0.0568,0.22,1.0,0.0,0.9961,6,2.3102,0.385,1.0,38.5,low,True
22020630,동구,불로·봉무동,7.6148,51.3824,30.1307,22.15,6,6,4,195.0,7.8794,66.67,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.2936,0.4291,0.22,0.9694,0.3333,0.9961,6,3.2415,0.5403,1.0,54.02,moderate,True
22020650,동구,지저동,2.2664,46.1463,38.695,22.15,2,2,2,31.0,8.8247,100.0,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.382,0.4883,0.22,0.9655,0.0,0.9961,6,3.0519,0.5086,1.0,50.86,low,True
22020660,동구,동촌동,3.2439,61.0428,31.3045,22.15,6,6,3,166.0,18.4962,50.0,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.3057,0.32,0.22,0.9256,0.5,0.9961,6,3.2674,0.5446,1.0,54.46,moderate,True
22020680,동구,방촌동,1.3304,18.2276,61.5219,22.15,7,7,5,220.0,52.6142,71.43,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.6177,0.8037,0.22,0.7848,0.2857,0.9961,6,3.708,0.618,1.0,61.8,high,True
22020690,동구,해안동,13.2704,56.8003,15.766,22.15,6,6,2,220.0,4.5214,33.33,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.1453,0.3679,0.22,0.9833,0.6667,0.9961,6,3.3793,0.5632,1.0,56.32,moderate,True
22020710,동구,공산동,83.5259,82.5816,5.7278,22.15,5,5,3,337.0,0.5986,60.0,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.0416,0.0767,0.22,0.9995,0.4,0.9961,6,2.7339,0.4557,1.0,45.57,low,True
22020730,동구,안심1동,3.3062,19.0524,66.392,22.15,6,6,5,337.0,18.148,83.33,70,3.8514,882448.19,2.5862,2026072806,6.0,8.0,2.0,0.668,0.7944,0.22,0.927,0.1667,0.9961,6,3.7722,0.6287,1.0,62.87,high,True
22020740,동구,안심2동,13.4294,72.0648,17.9272,22.15,4,4,2,102.0,2.9785,50.0,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.1676,0.1955,0.22,0.9896,0.5,0.9961,6,3.0688,0.5115,1.0,51.15,low,True
22020760,동구,안심3동,5.9513,25.2987,27.8415,22.15,2,2,2,40.0,3.3606,100.0,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.2699,0.7238,0.22,0.9881,0.0,0.9961,6,3.1979,0.533,1.0,53.3,moderate,True
22020770,동구,안심4동,2.6186,11.5581,71.4952,22.15,8,8,6,275.0,30.5508,75.0,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.7207,0.8791,0.22,0.8758,0.25,0.9961,6,3.9417,0.657,1.0,65.7,critical,True
22020780,동구,혁신동,16.5685,77.6294,13.2469,22.15,5,5,5,100.0,3.0178,100.0,70,3.8514,882448.19,2.5862,2026072806,6.0,7.0,2.0,0.1192,0.1326,0.22,0.9895,0.0,0.9961,6,2.4574,0.4096,1.0,40.96,low,True
22030510,서구,내당1동,0.5801,10.7482,79.0285,25.83,2,2,2,198.0,34.4765,100.0,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.7985,0.8882,0.3353,0.8596,0.0,0.7285,6,3.6101,0.6017,1.0,60.17,moderate,True
22030520,서구,내당2·3동,0.4987,1.5646,95.4615,25.83,9,9,4,492.0,180.4799,44.44,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9682,0.992,0.3353,0.257,0.5556,0.7285,6,3.8366,0.6394,1.0,63.94,high,True
22030530,서구,내당4동,0.7873,5.4984,90.6172,25.83,2,2,1,400.0,25.4044,50.0,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9182,0.9475,0.3353,0.8971,0.5,0.7285,6,4.3266,0.7211,1.0,72.11,critical,True
22030540,서구,비산1동,0.4411,3.3198,94.2874,25.83,7,7,2,309.0,158.6815,28.57,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9561,0.9721,0.3353,0.347,0.7143,0.7285,6,4.0533,0.6755,1.0,67.55,critical,True
22030550,서구,비산2·3동,0.545,2.2359,96.0838,25.83,9,9,5,552.0,165.136,55.56,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9746,0.9844,0.3353,0.3203,0.4444,0.7285,6,3.7875,0.6312,1.0,63.12,high,True
22030560,서구,비산4동,0.4105,0.9455,96.3214,25.83,6,6,3,289.0,146.162,50.0,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9771,0.999,0.3353,0.3986,0.5,0.7285,6,3.9385,0.6564,1.0,65.64,critical,True
22030570,서구,비산5동,0.3419,2.3522,95.8151,25.83,5,5,3,408.0,146.2525,60.0,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.9718,0.9831,0.3353,0.3983,0.4,0.7285,6,3.817,0.6362,1.0,63.62,high,True
22030580,서구,비산6동,0.2763,1.0671,98.5434,25.83,3,3,1,154.0,108.5754,33.33,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,1.0,0.9976,0.3353,0.5538,0.6667,0.7285,6,4.2819,0.7137,1.0,71.36,critical,True
22030590,서구,비산7동,2.8536,11.1863,75.8502,25.83,3,3,2,614.0,10.5132,66.67,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.7657,0.8833,0.3353,0.9585,0.3333,0.7285,6,4.0046,0.6674,1.0,66.74,critical,True
22030600,서구,평리1동,0.3851,0.8529,97.868,25.83,6,6,2,597.0,155.7876,33.33,66,37.8824,507171.08,3.0855,2026072806,5.0,8.0,2.0,0.993,1.0,0.3353,0.3589,0.6667,0.7285,6,4.0824,0.6804,1.0,68.04,critical,True
